Content ID,TypeContent,Category,TypeReaction,Datetime,Type,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,11/7/20 9:43,disgust,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,1/6/21 19:13,disgust,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,4/9/21 2:46,disgust,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,3/28/21 21:15,disgust,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,8/4/20 5:40,disgust,0
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,1/14/21 7:21,disgust,0
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,1/13/21 23:35,disgust,0
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,2/11/21 20:10,disgust,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,5/27/21 1:44,disgust,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,2/13/21 4:14,disgust,0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,disgust,11/7/20 8:49,disgust,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,3/31/21 15:51,disgust,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,9/11/20 16:22,disgust,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,10/13/20 16:31,disgust,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,7/23/20 19:31,disgust,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,12/8/20 13:12,disgust,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,1/5/21 13:15,disgust,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,11/8/20 2:43,disgust,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,4/19/21 1:45,disgust,0
